title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Dumbo,"$114,766,307","$353,284,621",Walt Disney Studios Motion Pictures,"$45,990,748","4,259 theaters","$170,000,000",PG,"Adventure,Family,Fantasy","Mar 29, 2019"
Knives Out,"$165,363,234","$311,398,301",Lionsgate,"$26,769,548","3,461 theaters","$40,000,000",PG-13,"Comedy,Crime,Drama,Mystery,Thriller","Nov 27, 2019"
Hustlers,"$104,963,598","$157,563,598",STX Entertainment,"$33,181,361","3,250 theaters","$20,000,000",R,"Comedy,Crime,Drama","Sep 13, 2019"
Black and Blue,"$22,055,313","$22,741,061",Screen Gems,"$8,376,846","2,062 theaters","$12,000,000",R,"Action,Crime,Thriller","Oct 25, 2019"
Countdown,"$25,621,766","$48,021,766",STX Entertainment,"$8,865,082","2,675 theaters","$6,500,000",PG-13,"Horror,Thriller","Oct 25, 2019"
Last Christmas,"$35,150,750","$121,550,750",Universal Pictures,"$11,441,055","3,448 theaters","$25,000,000",PG-13,"Comedy,Drama,Romance","Nov 8, 2019"
Abominable,"$60,716,390","$179,066,227",Universal Pictures,"$20,612,100","4,242 theaters","$75,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy","Sep 27, 2019"
Doctor Sleep,"$31,581,712","$72,381,712",Warner Bros.,"$14,114,124","3,855 theaters","$45,000,000",R,"Drama,Fantasy,Horror,Thriller","Nov 8, 2019"
Charlie's Angels,"$17,803,077","$73,279,888",Sony Pictures Entertainment (SPE),"$8,351,109","3,452 theaters","$48,000,000",PG-13,"Action,Adventure,Comedy","Nov 15, 2019"
The Godfather: Part III,"$95,330","$168,004",Paramount Pictures,"$54,602",179 theaters,"$54,000,000",R,"Crime,Drama","Dec 4, 2020"
The Muppet Christmas Carol,"$100,000","$255,064",Walt Disney Studios Motion Pictures,"$92,000",725 theaters,"$12,000,000",N/A,"27,days/3,weeks","Dec 18, 2020"
Alita: Battle Angel,"$85,838,210","$404,980,543",Twentieth Century Fox,"$28,525,613","3,790 theaters","$170,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller","Feb 14, 2019"
Grease,"$102,000","$773,974",Paramount Pictures,"$102,000",75 theaters,"$6,000,000",PG,"Musical,Romance","Jul 31, 2020"
Wendy,"$143,518","$144,564",Fox Searchlight Pictures,"$26,214",4 theaters,"$6,000,000",PG-13,"Drama,Fantasy","Feb 28, 2020"
The Grinch,"$270,807,000","$511,782,007",Universal Pictures,"$67,572,855","4,141 theaters","$75,000,000",PG,"Animation,Comedy,Family,Fantasy","Nov 9, 2018"
The Good Liar,"$17,156,058","$33,856,058",Warner Bros.,"$5,605,051","2,439 theaters","$10,000,000",R,"Crime,Drama,Mystery,Thriller","Nov 15, 2019"
Zombieland: Double Tap,"$73,123,082","$122,810,399",Sony Pictures Entertainment (SPE),"$26,803,104","3,468 theaters","$42,000,000",R,"Action,Adventure,Comedy,Horror","Oct 18, 2019"
Frozen,"$215,000","$216,993",Walt Disney Studios Motion Pictures,"$120,000","1,367 theaters","$150,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical","Nov 25, 2020"
Playing with Fire,"$44,451,847","$68,631,669",Paramount Pictures,"$12,723,781","3,125 theaters","$29,900,000",PG,"Comedy,Family","Nov 8, 2019"
Back to the Future,"$247,000","$541,216",Universal Pictures,"$107,000",116 theaters,"$19,000,000",N/A,"167,days/23,weeks","Jul 31, 2020"
Die Hard,"$325,000","$423,221",Walt Disney Studios Motion Pictures,"$189,000","1,172 theaters","$28,000,000",N/A,"41,days/5,weeks","Dec 4, 2020"
The Grinch,"$420,781","$825,440",Universal Pictures,"$81,000",225 theaters,"$75,000,000",PG,"Animation,Comedy,Family,Fantasy","Dec 4, 2020"
Iron Man,"$430,000","$430,000",Walt Disney Pictures,"$430,000",462 theaters,"$140,000,000",PG-13,"Action,Adventure,Sci-Fi","Jul 17, 2020"
The Addams Family,"$100,044,905","$203,044,905",United Artists Releasing,"$30,300,007","4,007 theaters","$24,000,000",PG,"Animation,Comedy,Family,Fantasy,Horror","Oct 11, 2019"
Inside Out,"$460,000","$460,176",Walt Disney Pictures,"$340,000",442 theaters,"$175,000,000",PG,"Adventure,Animation,Comedy,Drama,Family,Fantasy","Jul 10, 2020"
Beauty and the Beast,"$467,000","$543,260",Walt Disney Pictures,"$467,000",527 theaters,"$160,000,000",PG,"Family,Fantasy,Musical,Romance","Jul 17, 2020"
Harriet,"$43,082,155","$43,347,017",Focus Features,"$11,676,720","2,059 theaters","$17,000,000",PG-13,"Action,Biography,Drama,History","Nov 1, 2019"
Guardians of the Galaxy,"$542,000","$573,528",Walt Disney Studios Motion Pictures,"$406,000","1,560 theaters","$170,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi","Nov 13, 2020"
Black Christmas,"$10,429,730","$18,529,730",Universal Pictures,"$4,240,245","2,625 theaters","$5,000,000",PG-13,"Horror,Mystery,Thriller","Dec 13, 2019"
Midway,"$56,846,802","$126,696,475",Lionsgate,"$17,897,419","3,242 theaters","$100,000,000",PG-13,"Action,Adventure,Drama,History,War","Nov 8, 2019"
Maleficent: Mistress of Evil,"$113,929,605","$491,730,089",Walt Disney Studios Motion Pictures,"$36,948,713","3,790 theaters","$185,000,000",PG,"Adventure,Family,Fantasy","Oct 18, 2019"
The Addams Family,"$678,926","$715,952",United Artists Releasing,"$282,841","1,307 theaters","$24,000,000",PG,"Animation,Comedy,Family,Fantasy,Horror","Oct 23, 2020"
The Santa Clause,"$706,000","$719,342",Walt Disney Studios Motion Pictures,"$461,000","1,581 theaters","$22,000,000",PG,"Comedy,Drama,Family,Fantasy","Nov 20, 2020"
"Monsters, Inc.","$726,000","$726,000",Walt Disney Studios Motion Pictures,"$494,000","1,875 theaters","$115,000,000",G,"Adventure,Animation,Comedy,Family,Fantasy","Oct 23, 2020"
Ghostbusters,"$605,000","$706,606",Columbia Pictures,"$500,000",622 theaters,"$30,000,000",N/A,"195,days/27,weeks","Jul 3, 2020"
21 Bridges,"$28,539,757","$49,939,757",STX Entertainment,"$9,261,268","2,665 theaters","$33,000,000",R,"Action,Crime,Thriller","Nov 22, 2019"
Jaws,"$758,300","$773,250",Universal Pictures,"$516,300",187 theaters,"$7,000,000",N/A,"209,days/29,weeks","Jun 19, 2020"
Once Upon a Time... In Hollywood,"$142,502,728","$374,343,626",Sony Pictures Entertainment (SPE),"$41,082,018","3,659 theaters","$90,000,000",R,"Comedy,Drama","Jul 26, 2019"
Joker,"$335,451,311","$1,074,251,311",Warner Bros.,"$96,202,337","4,374 theaters","$55,000,000",R,"Crime,Drama,Thriller","Oct 4, 2019"
Elf,"$2,003,568","$2,181,963",New Line Cinema,"$170,000",300 theaters,"$33,000,000",PG,"Adventure,Comedy,Family,Fantasy,Romance","Nov 13, 2020"
Star Wars: Episode V - The Empire Strikes Back,"$2,482,000","$3,117,130",Walt Disney Studios Motion Pictures,"$611,000",611 theaters,"$18,000,000",PG,"Action,Adventure,Fantasy,Sci-Fi","Jul 10, 2020"
Jurassic Park,"$1,386,600","$1,906,501",Universal Pictures,"$517,600",230 theaters,"$63,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller","Jun 19, 2020"
Queen & Slim,"$43,808,310","$47,803,176",Universal Pictures,"$11,890,490","1,690 theaters","$18,000,000",R,"Crime,Drama,Romance","Nov 27, 2019"
Richard Jewell,"$22,345,542","$43,745,542",Warner Bros.,"$4,705,265","2,502 theaters","$45,000,000",R,"Biography,Crime,Drama","Dec 13, 2019"
A Beautiful Day in the Neighborhood,"$61,704,055","$67,760,877",Sony Pictures Entertainment (SPE),"$13,251,238","3,235 theaters","$25,000,000",PG,"Biography,Drama","Nov 22, 2019"
The Rhythm Section,"$5,437,971","$5,989,583",Paramount Pictures,"$2,715,384","3,049 theaters","$50,000,000",R,"Action,Drama,Mystery,Thriller","Jan 31, 2020"
The Hunt,"$5,812,500","$11,225,353",Universal Pictures,"$5,304,455","3,028 theaters","$14,000,000",R,"Action,Horror,Thriller","Mar 13, 2020"
Cats,"$27,166,770","$73,835,438",Universal Pictures,"$6,619,870","3,380 theaters","$95,000,000",PG,"Comedy,Drama,Family,Fantasy,Musical","Dec 20, 2019"
I Still Believe,"$9,868,521","$16,021,491",Lionsgate,"$9,103,614","3,250 theaters","$12,000,000",PG,"Biography,Drama,Music,Romance","Mar 13, 2020"
Bloodshot,"$12,561,824","$33,542,457",Sony Pictures Entertainment (SPE),"$9,176,695","2,861 theaters","$45,000,000",PG-13,"Action,Drama,Sci-Fi","Mar 13, 2020"
Emma.,"$10,055,355","$25,937,992",Focus Features,"$234,482",5 theaters,"$10,000,000",PG,"Comedy,Drama,Romance","Feb 21, 2020"
Ford v Ferrari,"$117,624,357","$225,508,210",Twentieth Century Fox,"$31,474,958","3,528 theaters","$97,600,000",PG-13,"Action,Biography,Drama,Sport","Nov 15, 2019"
Impractical Jokers: The Movie,"$10,691,091","$10,691,091",truTV,"$2,607,049",357 theaters,"$3,000,000",PG-13,Comedy,"Feb 21, 2020"
Jojo Rabbit,"$33,370,906","$90,335,025",Fox Searchlight Pictures,"$349,555",5 theaters,"$14,000,000",PG-13,"Comedy,Drama,War","Oct 18, 2019"
Brahms: The Boy II,"$12,611,536","$20,311,536",STX Entertainment,"$5,823,006","2,151 theaters","$10,000,000",PG-13,"Drama,Horror,Mystery,Thriller","Feb 21, 2020"
Bombshell,"$31,762,808","$61,404,394",Lionsgate,"$319,157",4 theaters,"$32,000,000",R,"Biography,Drama","Dec 13, 2019"
The Turning,"$15,472,775","$19,476,609",Universal Pictures,"$6,950,045","2,571 theaters","$14,000,000",PG-13,"Drama,Horror,Mystery","Jan 24, 2020"
The Photograph,"$20,578,185","$20,690,779",Universal Pictures,"$12,181,865","2,516 theaters","$16,000,000",PG-13,"Drama,Romance","Feb 14, 2020"
The Grudge,"$21,221,803","$49,511,319",Sony Pictures Entertainment (SPE),"$11,404,113","2,642 theaters","$10,000,000",R,"Fantasy,Horror,Mystery","Jan 3, 2020"
Like a Boss,"$22,169,514","$29,753,143",Paramount Pictures,"$10,011,272","3,078 theaters","$29,000,000",R,Comedy,"Jan 10, 2020"
Uncut Gems,"$50,023,780","$50,023,780",A24,"$537,242",5 theaters,"$19,000,000",R,"Crime,Drama,Thriller","Dec 13, 2019"
Fantasy Island,"$27,309,289","$48,811,343",Sony Pictures Entertainment (SPE),"$12,310,420","2,784 theaters","$7,000,000",PG-13,"Action,Adventure,Fantasy,Horror,Mystery,Thriller","Feb 14, 2020"
Parasite,"$53,369,749","$258,774,734",Neon,"$393,216",3 theaters,"$11,400,000",R,"Comedy,Drama,Thriller","Oct 11, 2019"
Just Mercy,"$36,001,502","$50,401,502",Warner Bros.,"$107,858",4 theaters,"$25,000,000",PG-13,"Biography,Crime,Drama","Dec 25, 2019"
The Gentlemen,"$36,471,795","$115,171,795",STX Entertainment,"$10,651,884","2,165 theaters","$22,000,000",R,"Action,Comedy,Crime","Jan 24, 2020"
Spies in Disguise,"$66,757,013","$171,616,764",Twentieth Century Fox,"$13,354,798","3,502 theaters","$100,000,000",PG,"Action,Adventure,Animation,Comedy,Family,Sci-Fi","Dec 25, 2019"
Frozen II,"$477,373,578","$1,450,026,933",Walt Disney Studios Motion Pictures,"$130,263,358","4,440 theaters","$150,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy,Musical","Nov 22, 2019"
Knives Out,"$165,363,234","$311,398,301",Lionsgate,"$26,769,548","3,461 theaters","$40,000,000",PG-13,"Comedy,Crime,Drama,Mystery,Thriller","Nov 27, 2019"
The Call of the Wild,"$62,342,368","$110,954,519",20th Century Studios,"$24,791,624","3,752 theaters","$135,000,000",PG,"Adventure,Drama,Family","Feb 21, 2020"
The Invisible Man,"$70,410,000","$143,151,000",Universal Pictures,"$28,205,665","3,610 theaters","$7,000,000",R,"Drama,Horror,Mystery,Sci-Fi,Thriller","Feb 28, 2020"
Little Women,"$108,101,214","$216,601,214",Sony Pictures Entertainment (SPE),"$16,755,310","3,308 theaters","$40,000,000",PG,"Drama,Romance","Dec 25, 2019"
Dolittle,"$77,047,065","$245,248,165",Universal Pictures,"$21,844,045","4,155 theaters","$175,000,000",PG,"Adventure,Comedy,Family,Fantasy","Jan 17, 2020"
Birds of Prey,"$84,158,461","$201,858,461",Warner Bros.,"$33,010,017","4,236 theaters","$84,500,000",R,"Action,Adventure,Comedy,Crime","Feb 7, 2020"
Star Wars: Episode IX - The Rise of Skywalker,"$515,202,542","$1,074,144,248",Walt Disney Studios Motion Pictures,"$177,383,864","4,406 theaters","$275,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi","Dec 20, 2019"
Jumanji: The Next Level,"$320,314,960","$800,059,707",Sony Pictures Entertainment (SPE),"$59,251,543","4,227 theaters","$125,000,000",PG-13,"Action,Adventure,Comedy,Fantasy","Dec 13, 2019"
Sonic the Hedgehog,"$148,974,665","$313,597,095",Paramount Pictures,"$58,018,348","4,167 theaters","$85,000,000",PG,"Action,Adventure,Comedy,Family,Sci-Fi","Feb 14, 2020"
1917,"$159,227,644","$384,906,742",Universal Pictures,"$576,216",11 theaters,"$95,000,000",R,"Drama,Thriller,War","Dec 25, 2019"
Bad Boys for Life,"$206,305,244","$426,505,244",Sony Pictures Entertainment (SPE),"$62,504,105","3,775 theaters","$90,000,000",R,"Action,Comedy,Crime,Thriller","Jan 17, 2020"
Forrest Gump,"$203,088","$203,088",Fathom Events,"$114,767",560 theaters,"$55,000,000",PG-13,"Drama,Romance","Jun 23, 2019"
Venom,"$213,515,506","$856,085,151",Sony Pictures Entertainment (SPE),"$80,255,756","4,250 theaters","$100,000,000",PG-13,"Action,Adventure,Sci-Fi","Oct 5, 2018"
The Possession of Hannah Grace,"$14,837,422","$43,016,528",Screen Gems,"$6,401,744","2,065 theaters","$7,700,000",R,"Horror,Mystery,Thriller","Nov 30, 2018"
Just Mercy,"$36,001,502","$50,401,502",Warner Bros.,"$107,858",4 theaters,"$25,000,000",PG-13,"Biography,Crime,Drama","Dec 25, 2019"
The Nutcracker and the Four Realms,"$54,858,851","$173,961,069",Walt Disney Studios Motion Pictures,"$20,352,491","3,766 theaters","$120,000,000",PG,"Adventure,Family,Fantasy","Nov 2, 2018"
The Godfather: Part II,"$291,754","$291,754",Fathom Events,"$171,417",681 theaters,"$13,000,000",N/A,"54,days/7,weeks","Nov 10, 2019"
Star Trek: The Motion Picture,"$346,243","$346,243",Fathom Events,"$220,007",627 theaters,"$35,000,000",G,"Adventure,Mystery,Sci-Fi","Sep 15, 2019"
The Shawshank Redemption,"$358,507","$473,776",Fathom Events,"$183,128",669 theaters,"$25,000,000",R,Drama,"Sep 22, 2019"
Ghostbusters,"$369,612","$430,435",Fathom Events,"$239,202",546 theaters,"$30,000,000",N/A,"87,days/12,weeks","Oct 6, 2019"
Meet Me in St. Louis,"$403,521","$403,521",Fathom Events,"$225,684",679 theaters,"$1,700,000",N/A,"26,days/3,weeks","Dec 8, 2019"
Ben-Hur,"$422,622","$422,622",Fathom Events,"$241,792",649 theaters,"$15,000,000",N/A,"262,days/37,weeks","Apr 14, 2019"
Cruel Intentions,"$445,218","$445,218",Sony Pictures Entertainment (SPE),"$258,708",708 theaters,"$10,500,000",R,"Drama,Romance","Mar 22, 2019"
Crazy Rich Asians,"$174,532,921","$238,532,921",Warner Bros.,"$26,510,140","3,384 theaters","$30,000,000",PG-13,"Comedy,Drama,Romance","Aug 15, 2018"
Widows,"$42,402,632","$75,984,700",Twentieth Century Fox,"$12,361,307","2,803 theaters","$42,000,000",R,"Crime,Drama,Thriller","Nov 16, 2018"
Saving Private Ryan,"$508,694","$508,694",Fathom Events,"$265,125",642 theaters,"$70,000,000",R,"Drama,War","Jun 2, 2019"
My Fair Lady,"$560,711","$560,711",Fathom Events,"$354,764",652 theaters,"$17,000,000",G,"Drama,Family,Musical,Romance","Feb 17, 2019"
Dirty Dancing,"$622,968","$622,968",Fathom Events,"$356,515",650 theaters,"$6,000,000",N/A,"325,days/46,weeks","Feb 10, 2019"
Alien,"$833,658","$1,385,671",Fathom Events,"$386,976",682 theaters,"$11,000,000",R,"Horror,Sci-Fi","Oct 13, 2019"
BlacKkKlansman,"$49,275,340","$93,400,823",Focus Features,"$10,845,330","1,512 theaters","$15,000,000",R,"Biography,Comedy,Crime,Drama","Aug 10, 2018"
1917,"$159,227,644","$384,906,742",Universal Pictures,"$576,216",11 theaters,"$95,000,000",R,"Drama,Thriller,War","Dec 25, 2019"
The Wizard of Oz,"$2,076,020","$2,097,514",Fathom Events,"$1,195,606",681 theaters,"$2,777,000",PG,"Adventure,Family,Fantasy,Musical","Jan 27, 2019"
Instant Family,"$67,363,237","$120,556,201",Paramount Pictures,"$14,504,315","3,286 theaters","$48,000,000",PG-13,"Comedy,Drama","Nov 16, 2018"
Fantastic Beasts: The Crimes of Grindelwald,"$159,555,901","$654,855,901",Warner Bros.,"$62,163,104","4,163 theaters","$200,000,000",PG-13,"Adventure,Family,Fantasy","Nov 16, 2018"
Creed II,"$115,715,889","$214,215,889",Metro-Goldwyn-Mayer (MGM),"$35,574,710","3,441 theaters","$50,000,000",PG-13,"Drama,Sport","Nov 21, 2018"
The Grinch,"$270,807,000","$511,782,007",Universal Pictures,"$67,572,855","4,141 theaters","$75,000,000",PG,"Animation,Comedy,Family,Fantasy","Nov 9, 2018"
War,"$4,654,000","$67,179,155",Yash Raj Films,"$1,607,627",305 theaters,"$21,000,000",N/A,"93,days/13,weeks","Oct 2, 2019"
Don't Let Go,"$5,215,062","$5,288,011",OTL Releasing,"$2,338,669",922 theaters,"$5,000,000",R,"Drama,Horror,Mystery,Sci-Fi,Thriller","Aug 30, 2019"
The Goldfinch,"$5,332,621","$9,932,621",Warner Bros.,"$2,679,027","2,542 theaters","$45,000,000",R,Drama,"Sep 13, 2019"
Motherless Brooklyn,"$9,277,736","$18,477,736",Warner Bros.,"$3,500,454","1,342 theaters","$26,000,000",R,"Crime,Drama,Mystery","Nov 1, 2019"
Holmes & Watson,"$30,573,626","$40,466,970",Sony Pictures Entertainment (SPE),"$7,411,522","2,776 theaters","$42,000,000",PG-13,"Comedy,Crime,Mystery","Dec 25, 2018"
Black Christmas,"$10,429,730","$18,529,730",Universal Pictures,"$4,240,245","2,625 theaters","$5,000,000",PG-13,"Horror,Mystery,Thriller","Dec 13, 2019"
The Best of Enemies,"$10,205,616","$10,209,813",STX Entertainment,"$4,446,190","1,705 theaters","$10,000,000",PG-13,"Biography,Drama,History","Apr 5, 2019"
After,"$12,138,565","$69,746,452",Aviron Pictures,"$6,002,349","2,138 theaters","$14,000,000",PG-13,"Drama,Romance","Apr 12, 2019"
The Kitchen,"$12,180,032","$15,980,032",Warner Bros.,"$5,527,410","2,745 theaters","$38,000,000",R,"Action,Crime,Drama","Aug 9, 2019"
A Star Is Born,"$215,288,866","$436,188,866",Warner Bros.,"$42,908,051","3,686 theaters","$36,000,000",R,"Drama,Music,Romance","Oct 5, 2018"
The Prodigy,"$14,856,291","$21,150,265",Orion Pictures,"$5,853,061","2,530 theaters","$6,000,000",R,"Fantasy,Horror,Mystery,Thriller","Feb 8, 2019"
Miss Bala,"$15,006,824","$15,383,580",Sony Pictures Entertainment (SPE),"$6,864,744","2,203 theaters","$15,000,000",PG-13,"Action,Crime,Drama,Thriller","Feb 1, 2019"
Second Act,"$39,282,227","$72,282,227",STX Entertainment,"$6,489,983","2,607 theaters","$16,000,000",PG-13,"Comedy,Drama,Romance","Dec 21, 2018"
The Good Liar,"$17,156,058","$33,856,058",Warner Bros.,"$5,605,051","2,439 theaters","$10,000,000",R,"Crime,Drama,Mystery,Thriller","Nov 15, 2019"
Brightburn,"$17,300,439","$32,893,421",Screen Gems,"$7,845,658","2,607 theaters","$6,000,000",R,"Drama,Horror,Mystery,Sci-Fi","May 24, 2019"
Charlie's Angels,"$17,803,077","$73,279,888",Sony Pictures Entertainment (SPE),"$8,351,109","3,452 theaters","$48,000,000",PG-13,"Action,Adventure,Comedy","Nov 15, 2019"
Richard Jewell,"$22,345,542","$43,745,542",Warner Bros.,"$4,705,265","2,502 theaters","$45,000,000",R,"Biography,Crime,Drama","Dec 13, 2019"
Bombshell,"$31,762,808","$61,404,394",Lionsgate,"$319,157",4 theaters,"$32,000,000",R,"Biography,Drama","Dec 13, 2019"
Unplanned,"$19,005,109","$21,344,199",Pure Flix Entertainment,"$6,382,298","1,059 theaters","$6,000,000",R,"Biography,Drama","Mar 29, 2019"
Cats,"$27,166,770","$73,835,438",Universal Pictures,"$6,619,870","3,380 theaters","$95,000,000",PG,"Comedy,Drama,Family,Fantasy,Musical","Dec 20, 2019"
The Peanut Butter Falcon,"$20,457,151","$23,743,627",Roadside Attractions,"$204,793",17 theaters,"$6,200,000",PG-13,"Adventure,Comedy,Drama","Aug 9, 2019"
Jojo Rabbit,"$33,370,906","$90,335,025",Fox Searchlight Pictures,"$349,555",5 theaters,"$14,000,000",PG-13,"Comedy,Drama,War","Oct 18, 2019"
Shaft,"$21,360,215","$21,360,215",Warner Bros.,"$8,901,419","2,952 theaters","$35,000,000",R,"Action,Comedy,Crime","Jun 14, 2019"
Hellboy,"$21,903,748","$55,064,690",Lionsgate,"$12,045,147","3,303 theaters","$50,000,000",R,"Action,Adventure,Fantasy,Horror,Sci-Fi","Apr 12, 2019"
Black and Blue,"$22,055,313","$22,741,061",Screen Gems,"$8,376,846","2,062 theaters","$12,000,000",R,"Action,Crime,Thriller","Oct 25, 2019"
47 Meters Down: Uncaged,"$22,260,900","$47,582,563",Entertainment Studios Motion Pictures,"$8,427,265","2,853 theaters","$12,000,000",PG-13,"Adventure,Drama,Horror,Thriller","Aug 16, 2019"
Stuber,"$22,370,452","$32,390,945",Twentieth Century Fox,"$8,225,384","3,050 theaters","$16,000,000",R,"Action,Comedy,Crime,Thriller","Jul 12, 2019"
Parasite,"$53,369,749","$258,774,734",Neon,"$393,216",3 theaters,"$11,400,000",R,"Comedy,Drama,Thriller","Oct 11, 2019"
Booksmart,"$22,680,962","$24,863,452",United Artists Releasing,"$6,933,620","2,505 theaters","$6,000,000",R,Comedy,"May 24, 2019"
A Dog's Journey,"$22,782,371","$75,727,748",Universal Pictures,"$8,030,085","3,267 theaters","$16,000,000",PG,"Adventure,Comedy,Drama,Family,Fantasy","May 17, 2019"
Fighting with My Family,"$22,958,886","$40,811,919",Metro-Goldwyn-Mayer (MGM),"$138,780",4 theaters,"$11,000,000",PG-13,"Biography,Comedy,Drama,Sport","Feb 14, 2019"
Ralph Breaks the Internet,"$201,091,711","$529,323,962",Walt Disney Studios Motion Pictures,"$56,237,634","4,017 theaters","$175,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy","Nov 21, 2018"
Uncut Gems,"$50,023,780","$50,023,780",A24,"$537,242",5 theaters,"$19,000,000",R,"Crime,Drama,Thriller","Dec 13, 2019"
Countdown,"$25,621,766","$48,021,766",STX Entertainment,"$8,865,082","2,675 theaters","$6,500,000",PG-13,"Horror,Thriller","Oct 25, 2019"
The Art of Racing in the Rain,"$26,395,642","$33,766,787",Twentieth Century Fox,"$8,137,584","2,765 theaters","$18,000,000",PG,"Comedy,Drama,Romance,Sport","Aug 9, 2019"
Bohemian Rhapsody,"$216,428,042","$903,655,259",Twentieth Century Fox,"$51,061,119","4,000 theaters","$52,000,000",PG-13,"Biography,Drama,Music","Nov 2, 2018"
Midsommar,"$27,426,361","$47,863,365",A24,"$6,560,030","2,707 theaters","$9,000,000",R,"Drama,Horror,Mystery,Thriller","Jul 3, 2019"
21 Bridges,"$28,539,757","$49,939,757",STX Entertainment,"$9,261,268","2,665 theaters","$33,000,000",R,"Action,Crime,Thriller","Nov 22, 2019"
Happy Death Day 2U,"$28,148,130","$64,600,152",Universal Pictures,"$9,497,665","3,207 theaters","$9,000,000",PG-13,"Comedy,Horror,Mystery,Sci-Fi,Thriller","Feb 13, 2019"
Ready or Not,"$28,714,231","$57,615,777",Fox Searchlight Pictures,"$8,015,590","2,855 theaters","$6,000,000",R,"Comedy,Horror,Mystery,Thriller","Aug 21, 2019"
Child's Play,"$29,208,403","$44,907,074",United Artists Releasing,"$14,094,594","3,007 theaters","$10,000,000",R,"Horror,Sci-Fi","Jun 21, 2019"
Spies in Disguise,"$66,757,013","$171,616,764",Twentieth Century Fox,"$13,354,798","3,502 theaters","$100,000,000",PG,"Action,Adventure,Animation,Comedy,Family,Sci-Fi","Dec 25, 2019"
Long Shot,"$30,316,271","$53,873,809",Lionsgate,"$9,740,064","3,230 theaters","$40,000,000",R,"Comedy,Romance","May 3, 2019"
Dragon Ball Super: Broly,"$30,712,119","$115,560,610",FUNimation Entertainment,"$9,816,197","1,238 theaters","$8,500,000",PG,"Action,Adventure,Animation,Family,Fantasy,Sci-Fi","Jan 16, 2019"
Doctor Sleep,"$31,581,712","$72,381,712",Warner Bros.,"$14,114,124","3,855 theaters","$45,000,000",R,"Drama,Fantasy,Horror,Thriller","Nov 8, 2019"
Cold Pursuit,"$32,138,862","$76,419,755",Lionsgate,"$11,030,233","2,630 theaters","$60,000,000",R,"Action,Crime,Drama,Thriller","Feb 8, 2019"
Overcomer,"$34,746,945","$38,026,103",Affirm Films,"$8,146,533","1,723 theaters","$5,000,000",PG,"Drama,Family,Sport","Aug 23, 2019"
Last Christmas,"$35,150,750","$121,550,750",Universal Pictures,"$11,441,055","3,448 theaters","$25,000,000",PG-13,"Comedy,Drama,Romance","Nov 8, 2019"
