title,criticscore,criticcount,audiencescore
Spider-Man: Homecoming,92%,391,87%
Life Itself,98%,200,88%
Life Itself,98%,200,88%
Athlete A,100%,55,93%
Singin' in the Rain,100%,63,95%
The Wizard of Oz,98%,120,89%
Pinocchio,100%,55,73%
The Irishman,95%,443,86%
Bride of Frankenstein,98%,47,87%
Paddington 2,100%,243,88%
Crip Camp,100%,91,92%
The 400 Blows,100%,62,94%
The Kid,100%,43,95%
The LEGO Movie,96%,252,87%
Metropolis,97%,131,92%
Afghan Star,100%,62,77%
The Treasure of the Sierra Madre,100%,50,93%
Man on Wire,100%,158,87%
Hoop Dreams,98%,60,93%
The Big Sick,98%,301,88%
Mad Max: Fury Road,97%,424,86%
An American in Paris,96%,68,79%
A Quiet Place,96%,379,83%
The Babadook,98%,239,72%
Incredibles 2,93%,381,84%
20 Feet From Stardom,99%,128,82%
Army in the Shadows,97%,75,94%
The Adventures of Robin Hood,100%,48,89%
Moana,95%,281,89%
Seven Samurai,100%,65,97%
Toy Story 4,97%,446,94%
Room 237,94%,131,55%
High Noon,97%,58,89%
Her,94%,280,82%
Rocky,94%,65,69%
The Adventures of Robin Hood,100%,48,89%
Spider-Man: Into the Spider-Verse,97%,385,93%
Hamilton,98%,183,90%
The Third Man,99%,82,93%
Frankenstein,100%,49,87%
Up,98%,298,90%
Weiner,97%,176,83%
Rashomon,98%,55,93%
Nosferatu,97%,67,87%
Toy Story,100%,90,92%
Baby Driver,92%,387,86%
Lady Bird,99%,394,79%
Black Panther,96%,517,79%
Behind the Candelabra,95%,105,71%
"The Good, the Bad and the Ugly",97%,74,97%
The Discreet Charm of the Bourgeoisie,98%,52,89%
When We Were Kings,98%,48,94%
Call Me by Your Name,94%,358,86%
Wonder Woman,93%,461,84%
The Red Shoes,97%,59,92%
Spotlight,97%,370,93%
The Lighthouse,90%,377,72%
Toy Story 2,100%,169,87%
Amy,95%,220,87%
Tokyo Story,100%,48,93%
Shadow of a Doubt,100%,47,89%
Isle of Dogs,90%,360,87%
Shazam!,90%,406,82%
BlacKkKlansman,96%,439,83%
Parasite,98%,456,90%
49 Up,97%,65,87%
Stagecoach,100%,45,86%
Miracle on 34th Street,96%,47,87%
The King of Kong: A Fistful of Quarters,97%,103,93%
The Philadelphia Story,100%,62,93%
Thor: Ragnarok,93%,429,87%
The Umbrellas of Cherbourg,99%,67,87%
The Cabinet of Dr. Caligari,98%,66,89%
Hereditary,89%,373,67%
Toy Story 3,98%,308,89%
Free Solo,97%,153,93%
Potemkin,100%,48,86%
King Kong,98%,64,86%
Kubo and the Two Strings,97%,221,86%
Jaws,98%,90,90%
The Farewell,98%,334,87%
Avengers: Endgame,94%,532,90%
A Film Unfinished,97%,65,86%
Rio Bravo,100%,43,91%
Amy,95%,220,87%
Undefeated,96%,102,89%
Top Hat,100%,42,91%
The Shape of Water,92%,450,72%
Amazing Grace,99%,157,80%
Arrival,94%,428,82%
Let the Right One In,98%,191,90%
Pinocchio,100%,55,73%
The Last Waltz,98%,50,94%
The Wages of Fear,100%,45,95%
Psycho,96%,103,95%
How to Train Your Dragon,99%,211,91%
Up,98%,298,90%
Modern Times,100%,61,95%
Knives Out,97%,458,92%
The Return,96%,89,93%
Unforgiven,96%,106,93%
Blackfish,98%,131,90%
Surfwise,98%,46,66%
The Lady Eve,100%,47,87%
Arrival,94%,428,82%
Mary Poppins,100%,51,86%
Shadow of a Doubt,100%,47,89%
It Follows,95%,259,66%
Finding Nemo,99%,266,86%
Dick Johnson Is Dead,100%,78,84%
Open City,100%,44,92%
Laura,100%,64,90%
Shaun the Sheep Movie,99%,170,81%
The Dark Knight,94%,342,94%
Eighth Grade,99%,309,82%
Lady Bird,99%,394,79%
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",95%,66,80%
The Searchers,98%,47,88%
Groundhog Day,96%,83,88%
The Life and Times of Hank Greenberg,97%,65,80%
On the Waterfront,99%,72,95%
Snow White and the Seven Dwarfs,98%,53,78%
Gentlemen Prefer Blondes,98%,44,83%
Argo,96%,358,90%
Freaks,95%,55,88%
The Jungle Book,94%,325,86%
Collective,99%,97,94%
The Umbrellas of Cherbourg,99%,67,87%
Sunset Blvd.,99%,70,95%
WALL-E,95%,260,90%
The Treasure of the Sierra Madre,100%,50,93%
It Happened One Night,98%,61,93%
Citizen Kane,100%,94,90%
Being Elmo: A Puppeteer's Journey,95%,78,87%
True Grit,95%,274,85%
Taxi to the Dark Side,100%,93,90%
Battle of the Sexes,85%,312,71%
An American in Paris,96%,68,79%
Logan,93%,417,90%
20 Feet From Stardom,99%,128,82%
The Invisible Man,91%,397,88%
Night of the Living Dead,97%,70,87%
Harry Potter and the Deathly Hallows: Part 2,96%,331,89%
Kedi,98%,128,85%
La dolce vita,96%,72,90%
A Hard Day's Night,98%,109,89%
Dumbo,98%,43,70%
Blade Runner 2049,88%,437,81%
Booksmart,96%,365,77%
Mission: Impossible -- Fallout,97%,431,88%
Los Angeles Plays Itself,96%,45,85%
A Fistful of Dollars,98%,51,91%
Murderball,98%,141,89%
The Fighter,90%,251,89%
Vertigo,94%,82,93%
E.T. the Extra-Terrestrial,98%,132,72%
Amy,95%,220,87%
Alien,98%,125,94%
Aliens,97%,76,94%
It's a Wonderful Life,94%,86,95%
Knock Down the House,99%,103,13%
Let the Right One In,98%,191,90%
Rebecca,100%,64,92%
Ratatouille,96%,251,87%
The Jungle Book,94%,325,86%
A Night at the Opera,97%,69,91%
BlacKkKlansman,96%,439,83%
Lost in La Mancha,94%,101,77%
Once Upon a Time in the West,95%,64,95%
Jodorowsky's Dune,98%,120,89%
Touching the Void,94%,140,92%
Annie Hall,98%,82,92%
Spider-Man: Far From Home,91%,444,95%
The Blue Angel,96%,45,86%
Psycho,96%,103,95%
The Silence of the Lambs,96%,102,95%
The LEGO Movie,96%,252,87%
Stop Making Sense,100%,41,97%
The Conformist,98%,56,90%
Metropolis,97%,131,92%
My Life as a Zucchini,99%,137,89%
Captain America: Civil War,90%,418,89%
Coco,97%,346,94%
The Irishman,95%,443,86%
El Camino: A Breaking Bad Movie,91%,126,81%
Deadwood: The Movie,98%,87,83%
Inside Job,98%,147,91%
The Crash Reel,96%,46,94%
Carol,94%,308,74%
Star Wars: The Last Jedi,90%,474,42%
Beauty and the Beast,94%,117,92%
Laura,100%,64,90%
Halloween,96%,72,89%
Moana,95%,281,89%
Blackfish,98%,131,90%
Balthazar,100%,42,86%
Seven Samurai,100%,65,97%
The Incredibles,97%,248,75%
The 39 Steps,96%,51,86%
Singin' in the Rain,100%,63,95%
Casablanca,99%,93,95%
Sing Your Song,95%,40,79%
Giant,95%,44,87%
The Square,100%,69,90%
Sugar,92%,137,80%
Gone With the Wind,91%,102,92%
Nosferatu,97%,67,87%
David Byrne's American Utopia,98%,124,84%
The Maltese Falcon,100%,57,91%
Rosemary's Baby,96%,73,87%
Toy Story,100%,90,92%
Taxi to the Dark Side,100%,93,90%
The Passion of Joan of Arc,98%,56,93%
The Philadelphia Story,100%,62,93%
Only Yesterday,100%,56,86%
Harry Potter and the Deathly Hallows: Part 2,96%,331,89%
The Big Sick,98%,301,88%
Moonlight,98%,387,79%
American Movie,94%,49,90%
The Man Who Shot Liberty Valance,94%,48,92%
Jiro Dreams of Sushi,99%,94,92%
Senna,93%,122,95%
The Red Shoes,97%,59,92%
The Invisible Man,91%,397,88%
The Last Waltz,98%,50,94%
Rebecca,100%,64,92%
Eyes Without a Face,98%,55,87%
How to Train Your Dragon,99%,211,91%
Maiden,98%,117,97%
The Discreet Charm of the Bourgeoisie,98%,52,89%
Top Hat,100%,42,91%
The LEGO Batman Movie,90%,313,80%
Skyfall,92%,378,86%
Paddington 2,100%,243,88%
A Star Is Born,90%,521,79%
Best Worst Movie,94%,69,84%
The Ballad of Buster Scruggs,89%,227,77%
Paris Is Burning,98%,55,89%
The Damned United,92%,139,85%
Before Midnight,98%,203,82%
Alien,98%,125,94%
Sing Street,95%,208,92%
North by Northwest,99%,79,94%
The Invisible Man,94%,52,85%
Dumbo,98%,43,70%
Murderball,98%,141,89%
Faces Places,99%,142,89%
North by Northwest,99%,79,94%
One Hundred and One Dalmatians,98%,51,76%
Mission: Impossible Rogue Nation,94%,324,87%
The Kid,100%,43,95%
Wonder Woman,93%,461,84%
The Normal Heart,94%,50,88%
Sweetgrass,97%,64,65%
Hoop Dreams,98%,60,93%
Creed II,83%,304,79%
The Umbrellas of Cherbourg,99%,67,87%
Star Wars: The Force Awakens,92%,438,86%
Stop Making Sense,100%,41,97%
M,100%,58,95%
Repulsion,95%,64,86%
Mary Poppins,100%,51,86%
Totally Under Control,99%,88,86%
A Separation,99%,177,92%
Bride of Frankenstein,98%,47,87%
Onward,88%,324,95%
Apocalypse Now,98%,95,94%
Once Upon a Time... In Hollywood,85%,559,70%
Dunkirk,93%,456,81%
Side by Side,93%,68,86%
Django Unchained,87%,289,91%
Waltz With Bashir,96%,152,91%
Boxing Gym,95%,42,75%
The Artist,95%,318,87%
Gravity,95%,355,80%
Fantasia,95%,56,83%
Hell or High Water,97%,281,88%
Pan's Labyrinth,95%,238,91%
Ratatouille,96%,251,87%
Jodorowsky's Dune,98%,120,89%
My Life as a Zucchini,99%,137,89%
Rear Window,99%,75,95%
Beauty and the Beast,94%,117,92%
The Hurt Locker,97%,287,84%
La La Land,91%,460,81%
The Farewell,98%,334,87%
Joan Rivers: A Piece of Work,92%,109,82%
The Wild Bunch,90%,63,91%
The Interrupters,99%,93,82%
Red Army,92%,101,85%
The Best Years of Our Lives,97%,60,93%
War for the Planet of the Apes,94%,355,84%
Some Like It Hot,95%,63,94%
Jaws,98%,90,90%
The Cabin in the Woods,92%,286,74%
My Life as a Zucchini,99%,137,89%
Time,98%,105,44%
Things to Come,99%,145,70%
Chinatown,99%,75,93%
Chicken Run,97%,171,65%
Lawrence of Arabia,97%,89,93%
Zootopia,98%,293,92%
A Quiet Place,96%,379,83%
"Yoo-Hoo, Mrs. Goldberg",93%,68,82%
Johnny Guitar,93%,45,85%
Afghan Star,100%,62,77%
Riding Giants,93%,96,94%
City Lights,98%,53,96%
Spider-Man: Homecoming,92%,391,87%
A Star Is Born,98%,41,81%
"The Godfather, Part II",98%,85,97%
The Witch,90%,326,59%
The Incredibles,97%,248,75%
Tower,99%,99,89%
Song of the Road,98%,48,94%
The Lady Eve,100%,47,87%
The Nightmare Before Christmas,95%,96,91%
The LEGO Movie,96%,252,87%
A Hard Day's Night,98%,109,89%
Portrait of a Lady on Fire,98%,305,92%
The Kid Stays in the Picture,91%,112,80%
3:10 to Yuma,89%,223,86%
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",100%,42,87%
Dogtown and Z-Boys,92%,98,88%
Roman Holiday,97%,59,93%
Metropolis,97%,131,92%
The Young Girls of Rochefort,98%,44,84%
Rear Window,99%,75,95%
Host,100%,77,74%
Miracle on 34th Street,96%,47,87%
Anvil! The Story of Anvil,98%,140,91%
The Salesman,96%,196,84%
12 Angry Men,100%,54,97%
Fantasia,95%,56,83%
Moana,95%,281,89%
The Philadelphia Story,100%,62,93%
Roma,95%,391,72%
F for Fake,88%,50,89%
Butch Cassidy and the Sundance Kid,90%,51,92%
Capturing the Friedmans,97%,153,89%
The Color of Money,89%,47,73%
Her,94%,280,82%
Shazam!,90%,406,82%
Anvil! The Story of Anvil,98%,140,91%
Chinatown,99%,75,93%
Don't Look Now,95%,74,76%
The LEGO Batman Movie,90%,313,80%
Inside Job,98%,147,91%
Only Yesterday,100%,56,86%
The Thin Man,98%,42,93%
"Monsters, Inc.",96%,197,90%
Star Trek,94%,354,91%
Top Hat,100%,42,91%
Thor: Ragnarok,93%,429,87%
Duel,88%,41,84%
Lone Star,94%,47,83%
The Invisible War,99%,72,84%
Tristram Shandy: A Cock and Bull Story,89%,128,66%
Ash Is Purest White,99%,152,68%
Bride of Frankenstein,98%,47,87%
Once,97%,158,91%
The Babadook,98%,239,72%
It,86%,382,84%
One Hundred and One Dalmatians,98%,51,76%
Shirkers,100%,66,78%
Tampopo,100%,55,93%
A Streetcar Named Desire,98%,60,90%
Anomalisa,92%,272,71%
Stagecoach,100%,45,86%
Up,98%,298,90%
Spotlight,97%,370,93%
Saraband,91%,85,87%
True Grit,89%,53,84%
56 Up,99%,69,76%
Up for Grabs,92%,48,87%
The African Queen,98%,45,86%
The Dark Knight,94%,342,94%
The Lion King,93%,130,93%
The Thin Man,98%,42,93%
Godzilla,93%,74,89%
Onward,88%,324,95%
All In: The Fight for Democracy,100%,60,71%
8 1/2,98%,51,92%
On the Waterfront,99%,72,95%
Grave of the Fireflies,100%,40,95%
Ant-Man and The Wasp,87%,431,75%
Toy Story 2,100%,169,87%
The Shape of Water,92%,450,72%
Corman's World: Exploits of a Hollywood Rebel,92%,51,84%
Blazing Saddles,88%,59,91%
Elaine Stritch: Shoot Me,99%,67,79%
Hoosiers,89%,45,88%
In a Lonely Place,98%,47,89%
Pinocchio,100%,55,73%
Waste Land,100%,71,90%
The Lady Vanishes,98%,44,88%
Young Frankenstein,94%,68,92%
Beauty and the Beast,94%,117,92%
The Square,100%,69,90%
Ikiru,98%,44,97%
The 400 Blows,100%,62,94%
Your Name,98%,116,94%
Avengers: Infinity War,85%,474,91%
Toy Story 3,98%,308,89%
Selma,99%,309,86%
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",91%,47,81%
The Magnificent Seven,89%,44,87%
Last Train Home,100%,54,87%
Heaven Can Wait,88%,41,68%
Beauty and the Beast,95%,66,90%
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98%,91,94%
Afghan Star,100%,62,77%
High Noon,97%,58,89%
The Birds,95%,57,83%
The Princess Bride,97%,77,94%
Mucho Mucho Amor: The Legend of Walter Mercado,100%,59,93%
Ran,97%,88,95%
The Treasure of the Sierra Madre,100%,50,93%
The Iron Giant,96%,143,90%
Goldfinger,99%,69,89%
"Three Billboards Outside Ebbing, Missouri",90%,406,87%
The Godfather,98%,100,98%
Doctor Zhivago,84%,49,88%
The Outlaw Josey Wales,90%,41,92%
The Act of Killing,95%,157,85%
Field of Dreams,87%,61,86%
The Lost Weekend,98%,43,90%
Blade Runner 2049,88%,437,81%
Amadeus,93%,100,95%
The 39 Steps,96%,51,86%
The Vanishing,98%,49,88%
Chicken Run,97%,171,65%
Jiro Dreams of Sushi,99%,94,92%
Gloria,99%,128,65%
The Lady Vanishes,98%,44,88%
Song of the Sea,99%,97,92%
Isle of Dogs,90%,360,87%
The Lady Eve,100%,47,87%
Grand Illusion,97%,66,92%
The Five Obstructions,89%,62,85%
Bone Tomahawk,90%,94,73%
Spellbound,97%,139,83%
Girlfight,88%,96,75%
Miracle on 34th Street,96%,47,87%
Captain America: Civil War,90%,418,89%
Yellow Submarine,95%,60,84%
Harry Potter and the Deathly Hallows: Part 2,96%,331,89%
Ready or Not,88%,303,78%
Paddington,97%,162,80%
Seymour: An Introduction,100%,68,78%
Eyes Without a Face,98%,55,87%
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98%,91,94%
Spirited Away,97%,188,96%
Star Wars,92%,130,96%
The Thin Man,98%,42,93%
Arrival,94%,428,82%
Tell Them Who You Are,88%,65,66%
City Slickers,90%,42,64%
Enron: The Smartest Guys in the Room,97%,119,87%
The Heart of the Game,87%,100,83%
Gentlemen Prefer Blondes,98%,44,83%
Harry Potter and the Deathly Hallows: Part 2,96%,331,89%
Sound City,100%,46,90%
Skyfall,92%,378,86%
Possessor: Uncut,93%,182,59%
The Nightmare Before Christmas,95%,96,91%
The Missing Picture,99%,88,76%
Amy,95%,220,87%
Kind Hearts and Coronets,100%,47,94%
Tower,99%,99,89%
Kubo and the Two Strings,97%,221,86%
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,98%,91,94%
Logan,93%,417,90%
This Film Is Not Yet Rated,84%,117,81%
Near Dark,88%,50,74%
Sholem Aleichem: Laughing in the Darkness,100%,43,68%
Tyson,85%,147,79%
Only Yesterday,100%,56,86%
Frankenstein,100%,49,87%
We Are the Best!,96%,135,77%
Touch of Evil,95%,78,92%
Drag Me to Hell,92%,269,62%
Fantasia,95%,56,83%
Deliver Us From Evil,100%,72,89%
The Blue Angel,96%,45,86%
The 39 Steps,96%,51,86%
The Lion King,93%,130,93%
WALL-E,95%,260,90%
Kind Hearts and Coronets,100%,47,94%
Marriage Story,94%,384,85%
Trekkies,86%,42,71%
McCabe & Mrs. Miller,85%,55,87%
Ai Weiwei: Never Sorry,98%,82,87%
Chariots of Fire,82%,73,80%
Sideways,97%,233,79%
The Lighthouse,90%,377,72%
Everyday Sunshine: The Story of Fishbone,100%,47,85%
Rashomon,98%,55,93%
A Girl Walks Home Alone at Night,96%,133,75%
"Monsters, Inc.",96%,197,90%
Paris Is Burning,98%,55,89%
A Fantastic Woman,94%,221,78%
An American in Paris,96%,68,79%
Who Framed Roger Rabbit,97%,65,84%
Marvel's the Avengers,91%,358,91%
Finding Nemo,99%,266,86%
Double Indemnity,97%,91,95%
Outfoxed: Rupert Murdoch's War on Journalism,85%,60,77%
The Three Burials of Melquiades Estrada,85%,149,81%
How to Survive a Plague,98%,80,82%
The Hurricane,83%,113,87%
Children of Paradise,98%,40,96%
It's a Wonderful Life,94%,86,95%
Hairspray,98%,42,80%
Vertigo,94%,82,93%
House of Wax,95%,42,72%
Big,97%,74,82%
Athlete A,100%,55,93%
The Leopard,98%,47,89%
His Girl Friday,98%,63,90%
Waltz With Bashir,96%,152,91%
The Terminator,100%,64,89%
His Girl Friday,98%,63,90%
The Favourite,93%,407,69%
Inside Deep Throat,82%,122,67%
Meek's Cutoff,86%,128,54%
This Is Not a Film,97%,101,69%
Looking for Eric,85%,99,78%
Beauty and the Beast,94%,117,92%
Sorry to Bother You,93%,304,70%
West Side Story,92%,78,84%
Taxi Driver,96%,92,93%
The Fly,95%,40,71%
The Iron Giant,96%,143,90%
One Child Nation,98%,100,85%
Children of Paradise,98%,40,96%
Touch of Evil,95%,78,92%
How to Train Your Dragon: The Hidden World,90%,265,86%
Iron Man,94%,279,91%
Crazy Rich Asians,91%,356,76%
Star Wars: The Last Jedi,90%,474,42%
Trumbo,83%,54,78%
Prospect,88%,49,71%
The King of Kong: A Fistful of Quarters,97%,103,93%
The Armstrong Lie,82%,121,76%
The Princess Bride,97%,77,94%
Star Trek,94%,354,91%
Bill Cunningham New York,99%,74,92%
L.A. Confidential,99%,115,94%
Midsommar,83%,389,63%
Song of the Sea,99%,97,92%
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,100%,57,86%
The Tale of the Princess Kaguya,100%,95,90%
Frankenstein,100%,49,87%
Persepolis,96%,161,92%
The African Queen,98%,45,86%
The Gold Rush,100%,50,93%
1917,89%,448,88%
Confirmation,83%,47,74%
The Proposition,85%,129,85%
Cave of Forgotten Dreams,96%,135,73%
Major League,83%,40,84%
Marty,98%,42,87%
Ant-Man and The Wasp,87%,431,75%
My Fair Lady,95%,58,90%
The Big Sleep,97%,65,91%
Carrie,93%,67,77%
Spirited Away,97%,188,96%
Hoop Dreams,98%,60,93%
Stalker,100%,41,93%
All Quiet on the Western Front,98%,52,89%
Wallace & Gromit: The Curse of the Were-Rabbit,95%,184,79%
Rio Bravo,100%,43,91%
Annie Hall,98%,82,92%
All About Eve,99%,77,94%
Blank City,82%,44,73%
Dances With Wolves,83%,76,87%
Muscle Shoals,97%,87,89%
Go Tigers!,85%,40,68%
Red,100%,54,95%
Avengers: Infinity War,85%,474,91%
Aladdin,95%,75,92%
The Wages of Fear,100%,45,95%
Nosferatu,95%,59,83%
The Muppets,95%,228,80%
On the Record,99%,70,81%
Red,100%,54,95%
Rashomon,98%,55,93%
Yellow Submarine,95%,60,84%
Hunt for the Wilderpeople,97%,202,91%
Paterson,96%,260,72%
Boyhood,97%,322,80%
Tupac: Resurrection,78%,90,90%
The Hateful Eight,74%,335,76%
The Fog of War,96%,142,93%
You Cannot Kill David Arquette,83%,53,96%
Sunrise,98%,60,92%
The Martian,91%,377,91%
Rivers and Tides: Andy Goldsworthy With Time,99%,71,90%
Nightcrawler,95%,272,85%
The Evil Dead,95%,62,84%
The Lion King,93%,130,93%
Waltz With Bashir,96%,152,91%
BPM (Beats Per Minute),98%,131,83%
Lawrence of Arabia,97%,89,93%
Fantastic Mr. Fox,93%,242,85%
The French Connection,98%,61,87%
The LEGO Movie,96%,252,87%
Once Upon a Time... In Hollywood,85%,559,70%
Overnight,78%,78,71%
The Homesman,81%,155,52%
Love Is Strange,93%,176,66%
Goon,81%,106,71%
God's Own Country,98%,128,87%
Invasion of the Body Snatchers,98%,57,85%
What's Love Got to Do With It,96%,53,88%
Goldfinger,99%,69,89%
Evil Dead 2,95%,60,89%
Who Framed Roger Rabbit,97%,65,84%
Waste Land,100%,71,90%
Burning,95%,193,80%
The Grapes of Wrath,100%,48,88%
Kiki's Delivery Service,98%,41,88%
Guardians of the Galaxy,91%,329,92%
Sorry to Bother You,93%,304,70%
Shadow of a Doubt,100%,47,89%
Disney's Teacher's Pet,76%,74,47%
Open Range,79%,184,84%
Bowling for Columbine,95%,172,83%
Beyond the Mat,82%,67,83%
Bringing Up Baby,93%,46,89%
Star Wars,92%,130,96%
Muscle Shoals,97%,87,89%
Invasion of the Body Snatchers,98%,57,85%
Spontaneous,98%,52,70%
Babe,97%,71,67%
Citizenfour,96%,146,87%
Playtime,98%,51,89%
It's a Wonderful Life,94%,86,95%
Ernest & Célestine,98%,81,88%
Badlands,98%,58,90%
Ant-Man and The Wasp,87%,431,75%
Argo,96%,358,90%
Pom Wonderful Presents: The Greatest Movie Ever Sold,72%,134,64%
Shanghai Noon,79%,134,65%
The War Tapes,98%,65,83%
Invictus,76%,246,75%
Henry V,100%,40,89%
Kubo and the Two Strings,97%,221,86%
Homecoming: A Film by Beyoncé,98%,55,87%
The Post,88%,400,73%
The Innocents,94%,54,86%
How to Train Your Dragon: The Hidden World,90%,265,86%
Slay the Dragon,100%,47,73%
Sing Street,95%,208,92%
Vertigo,94%,82,93%
Aladdin,95%,75,92%
John Wick: Chapter 3 -- Parabellum,89%,345,86%
The Disaster Artist,91%,347,85%
Manchester by the Sea,96%,349,78%
Fellini: I'm a Born Liar,73%,40,62%
"The Good, the Bad, the Weird",82%,66,83%
Gilda,90%,67,88%
The Boxer,80%,70,74%
Groundhog Day,96%,83,88%
How to Train Your Dragon,99%,211,91%
Searching for Sugar Man,95%,131,92%
Strangers on a Train,98%,49,92%
The Loved Ones,98%,58,73%
Wallace & Gromit: The Curse of the Were-Rabbit,95%,184,79%
The Interrupters,99%,93,82%
God's Own Country,98%,128,87%
The Gold Rush,100%,50,93%
Ralph Breaks the Internet,88%,273,65%
Doctor Strange,89%,377,85%
Toy Story,100%,90,92%
Leave No Trace,100%,235,81%
Only Human,72%,53,77%
Appaloosa,76%,164,55%
Last Year at Marienbad,94%,52,85%
Fed Up,81%,69,84%
Saint Frances,99%,90,80%
Her,94%,280,82%
Beware of Mr. Baker,98%,53,87%
Anatomy of a Murder,100%,48,90%
Invasion of the Body Snatchers,93%,60,81%
Yellow Submarine,95%,60,84%
Afghan Star,100%,62,77%
The Red Circle,95%,62,92%
Potemkin,100%,48,86%
Frozen,90%,246,85%
The Searchers,98%,47,88%
Isle of Dogs,90%,360,87%
12 Years a Slave,95%,366,90%
My Date With Drew,71%,65,57%
The Assassination of Jesse James by the Coward Robert Ford,76%,176,75%
Sicko,92%,218,87%
A League of Their Own,78%,69,84%
Before Sunrise,100%,46,93%
WALL-E,95%,260,90%
Exit Through the Gift Shop,96%,113,91%
The Night of the Hunter,95%,75,90%
Dead of Night,93%,43,86%
Fantastic Mr. Fox,93%,242,85%
Rewind,100%,44,96%
The Rules of the Game,96%,50,90%
The Big Sleep,97%,65,91%
The Red Turtle,93%,165,80%
Casino Royale,95%,259,89%
Birdman or (The Unexpected Virtue of Ignorance),91%,353,77%
Alien,98%,125,94%
Waking Sleeping Beauty,71%,51,80%
Red Hill,79%,68,57%
Undefeated,96%,102,89%
Step Into Liquid,81%,80,93%
Cold War,92%,247,80%
Marvel's the Avengers,91%,358,91%
Keep on Keepin' On,98%,43,88%
Freaks,95%,55,88%
Harpoon,97%,59,58%
Kiki's Delivery Service,98%,41,88%
Strong Island,100%,48,56%
A Fistful of Dollars,98%,51,91%
Stagecoach,100%,45,86%
Long Way North,98%,54,76%
Aliens,97%,76,94%
Monty Python and the Holy Grail,97%,78,95%
La La Land,91%,460,81%
